input,label
obvious copy,0
very funny as you peek at it through the fingers in front of your eyes,1
"is extremely funny ,",1
offers a glimpse of the Solomonic decision facing Jewish parents in those turbulent times : to save their children and yet to lose them .,1
no energy,0
baffled by Jason X.,0
"sad , sick sight",0
A compelling allegory about the last days of Germany 's democratic Weimar Republic,1
A beautiful paean to a time,1
the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB-,0
credible and remarkably mature,1
is a sweet and modest and ultimately winning story .,1
their struggle is simply too ludicrous and borderline insulting .,0
atrociously,0
"to imagine anyone managing to steal a movie not only from charismatic rising star Jake Gyllenhaal but also from accomplished Oscar winners Susan Sarandon , Dustin Hoffman and Holly Hunter , yet newcomer Ellen Pompeo pulls off the feat with aplomb",1
"contrived and exploitative for the art houses and too cynical , small and decadent for the malls",0
s a barely tolerable slog over well-trod ground,0
"Bogdanovich taps deep into the Hearst mystique , entertainingly reenacting a historic scandal .",1
for a breath of fresh air now and then,1
love to have their kids,1
its virtues are small and easily overshadowed by its predictability,0
has been properly digested,1
most hackneyed,0
contradiction,0
incredibly inane,0
underwhelming,0
The only time 8 Crazy Nights comes close to hitting a comedic or satirical target,0
is a frustrating patchwork : an uneasy marriage of Louis Begley 's source novel -LRB- About Schmidt -RRB- and an old Payne screenplay,0
done that ... a thousand times,0
"offensive , puerile",0
intelligence and originality,1
in three words : Thumbs Friggin ' Down,0
"Ten Little Indians meets Friday the 13th by way of Clean and Sober , filmed on the set of Carpenter 's The Thing and loaded with actors you 're most likely to find on the next inevitable incarnation of The Love Boat",0
"If you love the music , and I do , its hard to imagine having more fun watching a documentary ...",1
wants to break free of her old life,1
"also a -- dare I say it twice -- delightfully charming -- and totally American , I might add -- slice of comedic bliss",1
tiresome as 9,0
with memorable zingers,1
the best possible ways,1
is even more ludicrous than you 'd expect from the guy-in-a-dress genre,0
Ms. Griffiths and Mr. Pryce bring off this wild Welsh whimsy .,1
"is a lot like a well-made PB & J sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same",1
"it 's an observant , unfussily poetic meditation about identity and alienation .",1
"lumbering , wheezy",0
"through this sloppy , made-for-movie comedy special",0
an odd but ultimately satisfying blend,1
worst National Lampoon film,0
tick-tock pacing,0
"Because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags .",0
to no particularly memorable effect,0
Abysmally,0
retitle it The Adventures of Direct-to-Video Nash,0
The Thing ' and a geriatric,0
as intelligent,1
her Rubenesque physique,1
"` Yes , that 's right : it 's Forrest Gump , Angel Of Death . '",1
light and sugary that were it a Macy 's Thanksgiving Day Parade balloon,0
it 's boring,0
remotely probing or penetrating .,0
"its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting",1
deft portrait,1
An often unfunny,0
phony,0
s a funny little movie with clever dialogue and likeable characters .,1
its filmmakers run out of clever ideas and visual gags about halfway through,0
fragmentary,0
expands into a meditation on the deep deceptions of innocence,1
should avoid this like the dreaded King Brown snake,0
", he 's a charismatic charmer likely to seduce and conquer .",1
LaBute ca n't avoid a fatal mistake in the modern era :,0
jams too many prefabricated story elements into the running time,0
"ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense",1
A mawkish self-parody,0
The most ill-conceived animated comedy,0
have strip-mined the Monty formula mercilessly since 1997 .,1
"s the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin",0
elite,1
A strong first act and,1
"the French to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama",1
"are also some startling , surrealistic moments",1
", lumpish cipher",0
-LRB- Herzog 's -RRB- personal policy,1
sense-of-humour failure,0
that gives Hollywood sequels a bad name,0
-LRB- A -RRB- painfully flat gross-out comedy,0
", I have given this movie a rating of zero .",0
value choices,1
potentially incredibly twisting mystery,1
A four star performance from Kevin Kline who unfortunately works with a two star script .,1
"the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy",0
of privileged moments and memorable performances,1
s a wonder that he could n't have brought something fresher to the proceedings simply by accident,0
Troll the cult section of your local video store for the real deal,0
a pleasing way,1
like High Crimes flog the dead horse of surprise as if it were an obligation .,0
Zone '' episode,1
raises serious questions,0
to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal,1
I would have no problem giving it an unqualified recommendation .,0
", romantic comedy with a fresh point of view just does n't figure in the present Hollywood program .",0
a high enough level,1
that Jackie Chan is getting older,0
popular Gulzar and Jagjit Singh,1
best espionage picture,1
"the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself",0
The film runs on a little longer than it needs to --,0
", the director 's experiment is a successful one .",1
be a talky bore,0
sustain a reasonable degree of suspense on its own,1
into the sort of heartache everyone,0
to the Serbs themselves,1
confront it,1
low-budget movie,0
"is that Caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion",1
"director Hoffman , with great help from Kevin Kline ,",1
"take centre screen , so that the human story is pushed to one side",0
No amount of blood and disintegrating vampire cadavers can obscure this movie 's lack of ideas .,0
